"","Date","NDVI","NDVI_GapFilled","FFTNDVI"
"1","23-Jan-16",0.639,0.639,0.563283226137716+0i
"2","23-Jan-16",0.639,0.639,0.557339026191348-0i
"3","16-Feb-16",0.65,0.65,0.539860898369892-0i
"4","23-Mar-16",0.233,0.233,0.5118893357752-0i
"5","23-Mar-16",0.233,0.233,0.475083627511134-0i
"6","22-Apr-16",0.101,0.101,0.431614856218961-0i
"7","22-Apr-16",0.101,0.101,0.384026311731516-0i
"8","2-May-16",0.049,0.049,0.335070687091309-0i
"9","2-May-16",0.049,0.049,0.287534950867428-0i
"10","22-May-16",0.078,0.078,0.244064568437765+0i
"11","22-May-16",0.078,0.078,0.206998723127225-0i
"12","11-Jun-16",0.063,0.063,0.178227370128967-0i
"13","11-Jun-16",0.063,0.063,0.159079401745681-0i
"14","1-Jul-16",NA,0.107666666666667,0.150249022540484-0i
"15","1-Jul-16",NA,0.152333333333333,0.151764781532933-0i
"16","21-Jul-16",0.197,0.197,0.163002771896173-0i
"17","10-Aug-16",NA,0.231,0.182742492025035-0i
"18","30-Aug-16",NA,0.265,0.209260975211411-0i
"19","30-Aug-16",NA,0.299,0.240458238114447-0i
"20","19-Sep-16",0.333,0.333,0.274005046158747-0i
"21","19-Sep-16",0.133,0.133,0.307502585892666-0i
"22","9-Oct-16",NA,0.232,0.338642963094165-0i
"23","9-Oct-16",NA,0.331,0.365359551566873-0i
"24","29-Oct-16",0.43,0.43,0.385957086734955-0i
"25","29-Oct-16",0.43,0.43,0.399212962332215-0i
"26","18-Nov-16",0.182,0.182,0.404443331220971-0i
"27","18-Nov-16",0.182,0.182,0.401530176260025-0i
"28","28-Nov-16",0.178,0.178,0.390908319144644-0i
"29","28-Nov-16",0.178,0.178,0.373514173926128-0i
"30","8-Dec-16",0.126,0.126,0.35070072614826-0i
"31","28-Dec-16",0.27,0.27,0.324125540188774-0i
"32","7-Jan-17",0.42,0.42,0.2956204050359-0i
"33","16-Feb-17",0.769,0.769,0.267052398839158-0i
"34","8-Mar-17",0.602,0.602,0.240186608076605+0i
"35","28-Mar-17",0.232,0.232,0.216560452635361+0i
"36","17-Apr-17",0.138,0.138,0.197378571161307+0i
"37","7-May-17",0.1,0.1,0.183435590105809+0i
"38","27-May-17",0.092,0.092,0.175071958192273+0i
"39","16-Jun-17",0.071,0.071,0.1721655344296+0i
"40","6-Jul-17",NA,0.1505,0.174158955250471+0i
"41","21-Jul-17",NA,0.23,0.180120168558423+0i
"42","26-Jul-17",NA,0.3095,0.18883109993551+0i
"43","15-Aug-17",NA,0.389,0.198897382635724+0i
"44","30-Aug-17",NA,0.4685,0.208870582679338+0i
"45","19-Sep-17",0.548,0.548,0.217373488349353+0i
"46","24-Sep-17",0.657,0.657,0.223218867915714+0i
"47","9-Oct-17",0.368,0.368,0.225512638075803+0i
